,URL,Content_title,Contents,Sentiment
0,https://www.eurosport.com/football/transfers/2019-2020/transfer-news-live_sto7819443/story.shtml,"Transfer news LIVE - Jadon Sancho latest, Houssem Aouar to Arsenal, Michael Cuisance to Leeds",The latest breaking transfer news and all the best rumours... ,positive
1,https://www.eurosport.com/football/premier-league/2021-2022/juan-mata-gets-the-embarrassing-but-essential-man-utd-farewell-tour-treatment-at-old-trafford-the-wa_sto8909503/story.shtml,Juan Mata gets the embarrassing but essential Man Utd farewell tour treatment at Old Trafford – The Warm-Up,"So long, Juan Mata. Cya, Nemanja Matic. Ciao, Edinson Cavani. It was fun while it lasted, although this farewell was an essential part of the Manchester United overhaul that will soon take place. It’s just a shame, as far as the fans should be concerned, that the 36th Premier League match of the season was used to say goodbyes, rather than compete for positions in the table. ",positive
2,https://www.eurosport.com/football/ballon-d-or/2021/deserved-the-ballon-dor-javi-martinez-reveals-why-robert-lewandowski-wants-barca-move_sto8909628/story.shtml,‘Deserved the Ballon d’Or!’ – Javi Martinez reveals why Robert Lewandowski wants Barca move,"Robert Lewandowski has been at Bayern Munich since 2014 and has been crucial to their success. However, he has yet to win the Ballon d'Or. Former team-mate Javi Martinez has said that the Polish striker is looking for a move to Barcelona to better his chances of winning the French Football award. ",positive
3,https://www.eurosport.com/football/ballon-d-or/2021/ballon-d-or-peter-crouch-has-backed-sadio-mane-and-mohamed-salah-as-top-contenders-for-ballon-d-or_sto8909663/story.shtml,'They are your standouts' - Crouch tips Liverpool duo Mohamed Salah and Sadio Mane for Ballon d'Or glory,"Peter Crouch says that Sadio Mane, who has international and domestic success this season, should be a favourite for the Ballon d'Or, with Mohamed Salah right behind him if Liverpool manage to win the quadruple this season. The award of the Ballon d’Or is due to take place in October 2022 and this year the prize will be presented on a seasonal basis rather than for a calendar year. ",positive
4,https://www.eurosport.com/football/transfers/2020-2021/lautaro-martinez-arsenal-to-rival-man-utd-for-inter-striker-with-champions-league-a-potential-factor_sto8909505/story.shtml,Lautaro Martinez: Arsenal to rival Man Utd for Inter striker with Champions League a potential factor – Paper Round,"Tuesday’s Paper Round leads on The Times’ report regarding Arsenal and their interest in Lautaro Martinez, the Inter striker who is also wanted by Manchester United. Elsewhere, Kalvin Phillips must wait for a new deal at Leeds, Sergej Milinkovic-Savic makes the gossip columns again, and a Derby youngster is wanted by a handful of Premier League clubs. ",negative
5,https://www.eurosport.com/football/champions-league/2021-2022/i-would-be-really-angry-jurgen-klopp-denies-liverpool-complacent-ahead-of-villarreal-champions-leagu_sto8909103/story.shtml,'I would be really angry' - Jurgen Klopp denies Liverpool complacency ahead of Villarreal Champions League second leg,Liverpool boss Jurgen Klopp saw his side win a testing match at St James' Park on Saturday as they beat Newcastle 1-0 with a determined performance. He said that the commitment shown at the weekend could help them as they guard against complacency in their Champions League semi-final with Villarreal. ,positive
6,https://www.eurosport.com/football/premier-league/2021-2022/man-utd-v-brentford-follow-live_sto8908498/story.shtml,Manchester United 3-0 Brentford: Cristiano Ronaldo and Bruno Fernandes on target as hosts ease past Bees,"Premier League, Old Trafford - Manchester United 3 (Fernandes, 9', Ronaldo, 61' (P), Varane, 72') Brentford 0 ",positive
7,https://www.eurosport.com/football/bundesliga/2021-2022/eintracht-frankfurt-lose-to-bayer-leverkusen-leipzig-suffer-borussia-monchengladbach-defeat_sto8909351/story.shtml,"Eintracht Frankfurt lose to Bayer Leverkusen, Leipzig suffer Borussia Monchengladbach defeat","Eintracht Frankfurt and RB Leipzig both need to avoid defeat in their Europa League semi-final second legs on Thursday to reach the tournament final, but they suffered defeats in the Bundesliga on Monday evening. Leipzig lost to Borussia Monchengladbach and Bayer Leverkusen defeated Eintracht Frankfurt. ",neutral
8,https://www.eurosport.com/football/premier-league/2021-2022/flares-saves-and-fireworks-the-premier-league-s-manic-may-kicks-off-with-a-bang-the-warm-up_sto8908280/story.shtml,"Flares, saves and fireworks: The Premier League's Manic May kicks off with a bang - The Warm-Up","A huge win for Everton threw a cat among the Premier League relegation battle pigeons, while Arsenal and Tottenham are heading for that conveniently timed derby to decide fourth place in the table. Elsewhere, an unreal free-kick in the FA Women's Championship, and league title joy in Turkey (and Spain). ",positive
9,https://www.eurosport.com/football/uefa-extends-russia-exclusion-to-women-s-euro-2022-finals-2023-competitions-and-euro-championship-bi_sto8909015/story.shtml,"UEFA extends Russia exclusion to Women's Euro 2022 finals, 2023 competitions and Euro Championship bids","In response to the ongoing invasion by Russia of Ukraine, European football's governing body UEFA has confirmed its sanctions on Russian sporting involvement. Clubs and national teams representing Russia for the rest of the 2022 footballing calendar, 2022/23 season involvement, and bids for the next two European Championships, have been banned. ",neutral
