,URL,Content_title,Contents,Sentiment
0,https://www.eurosport.com/football/transfers/2019-2020/transfer-news-live_sto7819443/story.shtml,"Transfer news LIVE - Jadon Sancho latest, Houssem Aouar to Arsenal, Michael Cuisance to Leeds",The latest breaking transfer news and all the best rumours... ,positive
1,https://www.eurosport.com/football/champions-league/2021-2022/villarreal-v-liverpool-live_sto8908521/story.shtml,Liverpool book place in final as three goals in second-half recovery sinks plucky Villarreal,"Champions League semi-final second leg, Estadio de la Ceramica – Villarreal CF 2 (Dia 3’, Coquelin 40’) Liverpool 3 (Fabinho 61’, Diaz 67’, Mane 74’) Liverpool win 5-2 on aggregate. ",positive
2,https://www.eurosport.com/football/champions-league/2021-2022/we-took-the-game-by-the-scruff-of-the-neck-trent-alexander-arnold-celebrates-liverpool-champions-lea_sto8910527/story.shtml,‘We took the game by the scruff of the neck’ - Trent Alexander-Arnold celebrates Liverpool Champions League comeback,"At half time against Villarreal on Tuesday night in the second leg of the Champions League semi-final tie, Liverpool were being held 2-2 on aggregate. They finished 5-2 winners and defender Trent Alexander-Arnold explained that his side’s determination was at the heart of their impressive comeback win. ",positive
3,https://www.eurosport.com/football/champions-league/2021-2022/jurgen-klopp-coaches-couldn-t-find-one-example-of-liverpool-following-tactical-instructions-against-_sto8910531/story.shtml,Jurgen Klopp: Coaches 'couldn't find one' example of Liverpool following tactical instructions against Villarreal,"Liverpool manager Jurgen Klopp saw his side struggle against Villarreal in the first half of the second leg of their Champions League tie on Tuesday. Klopp said he asked his assistant manager Peter Krawietz to find a video clip of the side playing as he wanted at half time, but he was unable to find a single example. ",negative
4,https://www.eurosport.com/football/transfers-1/2021-2022/declan-rice-richarlison-and-antony-three-players-to-rebuild-manchester-united-after-summer-transfer-_sto8910162/story.shtml,"Declan Rice, Richarlison and Antony  - three players to rebuild Manchester United after summer transfer window exodus","Manchester United are set to lose a huge chunk of their first team squad on a free transfer this summer. Juan Mata, Nemanja Matic, Edinson Cavani, Jesse Lingard and Lee Grant are all expected to depart, and that puts pressure on Erik ten Hag to bring in the right players. We look at three potential options. ",positive
5,https://www.eurosport.com/football/premier-league/2021-2022/chelsea-owner-roman-abramovich-stakes-claim-to-1.6bn-lent-to-club-ahead-of-proposed-takeover-reports_sto8910442/story.shtml,Chelsea owner Roman Abramovich stakes claim to £1.6bn lent to club ahead of proposed takeover - reports,"Chelsea have endured a difficult 2022 after the club and its owner Roman Abramovich were hit by sanctions following the oligarch's associate, Russian president Vladimir Putin, launching an invasion of Ukraine. Now it appears that the billionaire has set up a late obstacle after a preferred bidder was designated. ",negative
6,https://www.eurosport.com/football/premier-league/2021-2022/juan-mata-gets-the-embarrassing-but-essential-man-utd-farewell-tour-treatment-at-old-trafford-the-wa_sto8909503/story.shtml,Juan Mata gets the embarrassing but essential Man Utd farewell tour treatment at Old Trafford – The Warm-Up,"So long, Juan Mata. Cya, Nemanja Matic. Ciao, Edinson Cavani. It was fun while it lasted, although this farewell was an essential part of the Manchester United overhaul that will soon take place. It’s just a shame, as far as the fans should be concerned, that the 36th Premier League match of the season was used to say goodbyes, rather than compete for positions in the table. ",positive
7,https://www.eurosport.com/football/championship/2021-2022/david-brooks-of-afc-bournemouth-and-wales-shares-that-he-is-cancer-free-and-is-cleared-to-continue-p_sto8910122/story.shtml,David Brooks of AFC Bournemouth and Wales shares that he is cancer free and is cleared to continue playing football,"The 24-year-old had made 89 appearences for Bournemouth before finding out that he had been diagnosed with Stage 2 Hodgkin lymphoma. On his personal Twitter today, he announced the good news that he has fully recovered, and is set to start training again soon. ",positive
8,https://www.eurosport.com/football/ballon-d-or/2021/ballon-d-or-peter-crouch-has-backed-sadio-mane-and-mohamed-salah-as-top-contenders-for-ballon-d-or_sto8909663/story.shtml,'They are your standouts' - Crouch tips Liverpool duo Mohamed Salah and Sadio Mane for Ballon d'Or glory,"Peter Crouch says that Sadio Mane, who has international and domestic success this season, should be a favourite for the Ballon d'Or, with Mohamed Salah right behind him if Liverpool manage to win the quadruple this season. The award of the Ballon d’Or is due to take place in October 2022 and this year the prize will be presented on a seasonal basis rather than for a calendar year. ",positive
9,https://www.eurosport.com/football/ballon-d-or/2021/deserved-the-ballon-dor-javi-martinez-reveals-why-robert-lewandowski-wants-barca-move_sto8909628/story.shtml,‘Deserved the Ballon d’Or!’ – Javi Martinez reveals why Robert Lewandowski wants Barcelona move,"Robert Lewandowski has been at Bayern Munich since 2014 and has been crucial to their success. However, Lewandowski has yet to win the Ballon d'Or. Former team-mate Javi Martinez has said that the Polish striker is looking for a move to Barcelona to better his chances of winning the French Football award. ",positive
10,https://www.eurosport.com/football/transfers/2021-2022/we-have-made-a-deal-confusion-reigns-over-fabio-carvalho-s-future-at-fulham-amid-links-to-liverpool_sto8909891/story.shtml,'We have made a deal' - Confusion reigns over Fabio Carvalho's future at Fulham amid links to Liverpool,"Fabio Carvalho has been heavily linked to Liverpool, yet the youngster is keen to keep his future plans under wraps, saying that nothing has been decided. Unfortunately for him, Fulham's co-owner may have let it slip that the player has already been sold. Tony Khan said: ""We have made a deal that is best for the club and, since that agreement, it’s worked out wonderfully."" ",positive
11,https://www.eurosport.com/football/liga/2021-2022/after-real-i-ll-probably-stop-carlo-ancelotti-likely-to-retire-from-club-coaching-after-madrid-stint_sto8909980/story.shtml,'After Real I'll probably stop' - Carlo Ancelotti likely to retire from club coaching after Madrid stint,"Carlo Ancelotti has said that he wants to spend time with family, and travel the world, which means that he likely sees Real Madrid as his last club. He has put no timeline on when he'll leave the club, but admits that after taking some time off, he sees himself taking on an international challenge. ",negative
12,https://www.eurosport.com/football/transfers/2020-2021/lautaro-martinez-arsenal-to-rival-man-utd-for-inter-striker-with-champions-league-a-potential-factor_sto8909505/story.shtml,Lautaro Martinez: Arsenal to rival Man Utd for Inter striker with Champions League a potential factor – Paper Round,"Tuesday’s Paper Round leads on The Times’ report regarding Arsenal and their interest in Lautaro Martinez, the Inter striker who is also wanted by Manchester United. Elsewhere, Kalvin Phillips must wait for a new deal at Leeds, Sergej Milinkovic-Savic makes the gossip columns again, and a Derby youngster is wanted by a handful of Premier League clubs. ",negative
13,https://www.eurosport.com/football/champions-league/2021-2022/i-would-be-really-angry-jurgen-klopp-denies-liverpool-complacent-ahead-of-villarreal-champions-leagu_sto8909103/story.shtml,'I would be really angry' - Jurgen Klopp denies Liverpool complacency ahead of Villarreal Champions League second leg,Liverpool boss Jurgen Klopp saw his side win a testing match at St James' Park on Saturday as they beat Newcastle 1-0 with a determined performance. He said that the commitment shown at the weekend could help them as they guard against complacency in their Champions League semi-final with Villarreal. ,positive
14,https://www.eurosport.com/football/premier-league/2021-2022/man-utd-v-brentford-follow-live_sto8908498/story.shtml,Manchester United 3-0 Brentford: Cristiano Ronaldo and Bruno Fernandes on target as hosts ease past Bees,"Premier League, Old Trafford - Manchester United 3 (Fernandes, 9', Ronaldo, 61' (P), Varane, 72') Brentford 0 ",positive
15,https://www.eurosport.com/football/bundesliga/2021-2022/eintracht-frankfurt-lose-to-bayer-leverkusen-leipzig-suffer-borussia-monchengladbach-defeat_sto8909351/story.shtml,"Eintracht Frankfurt lose to Bayer Leverkusen, Leipzig suffer Borussia Monchengladbach defeat","Eintracht Frankfurt and RB Leipzig both need to avoid defeat in their Europa League semi-final second legs on Thursday to reach the tournament final, but they suffered defeats in the Bundesliga on Monday evening. Leipzig lost to Borussia Monchengladbach and Bayer Leverkusen defeated Eintracht Frankfurt. ",neutral
16,https://www.eurosport.com/football/premier-league/2021-2022/flares-saves-and-fireworks-the-premier-league-s-manic-may-kicks-off-with-a-bang-the-warm-up_sto8908280/story.shtml,"Flares, saves and fireworks: The Premier League's Manic May kicks off with a bang - The Warm-Up","A huge win for Everton threw a cat among the Premier League relegation battle pigeons, while Arsenal and Tottenham are heading for that conveniently timed derby to decide fourth place in the table. Elsewhere, an unreal free-kick in the FA Women's Championship, and league title joy in Turkey (and Spain). ",positive
17,https://www.eurosport.com/football/uefa-extends-russia-exclusion-to-women-s-euro-2022-finals-2023-competitions-and-euro-championship-bi_sto8909015/story.shtml,"UEFA extends Russia exclusion to Women's Euro 2022 finals, 2023 competitions and Euro Championship bids","In response to the ongoing invasion by Russia of Ukraine, European football's governing body UEFA has confirmed its sanctions on Russian sporting involvement. Clubs and national teams representing Russia for the rest of the 2022 footballing calendar, 2022/23 season involvement, and bids for the next two European Championships, have been banned. ",neutral
18,https://www.eurosport.com/football/transfers/2019-2020/transfer-news-live_sto7819443/story.shtml,"Transfer news LIVE - Jadon Sancho latest, Houssem Aouar to Arsenal, Michael Cuisance to Leeds",The latest breaking transfer news and all the best rumours... ,positive
19,https://www.eurosport.com/football/premier-league/2019-2020/premier-league-done-deals-all-the-summer-transfer-window-ins-and-outs_sto7812520/story.shtml,Premier League done deals: All the summer transfer window ins and outs,Club-by-club details on all the transfer deals across the 2020 summer transfer window in the Premier League. ,neutral
20,https://www.eurosport.com/football/eric-dier-caught-short-gareth-bale-excited-that-carabao-really-is-something-the-warm-up_sto7913837/story.shtml,"Eric Dier caught short, Gareth Bale excited, that Carabao really is something - The Warm-Up","Tottenham’s Eric Dier was caught short during his side’s penalty shootout victory over Chelsea in the Carabao Cup. Jose Mourinho didn’t seem to mind after all. There’s been a signing in Manchester, but for City not United. And down in the National League Macclesfield Town have been expelled, a worry sign of things to come lower down the leagues. ",negative
