,URL,Content_title,Contents,Sentiment
0,https://www.footballmoment.com/2022/05/04/%e0%b9%84%e0%b8%ae%e0%b9%84%e0%b8%a5%e0%b8%97%e0%b9%8c-%e0%b8%9a%e0%b8%b5%e0%b8%a2%e0%b8%b2%e0%b8%a3%e0%b9%8c%e0%b9%80%e0%b8%a3%e0%b8%ad%e0%b8%b1%e0%b8%a5-%e0%b8%a5%e0%b8%b4%e0%b9%80%e0%b8%a7/,ไฮไลท์ บียาร์เรอัล – ลิเวอร์พูล,สามารถติดตามไฮไลท์ฟุตบอลเพิ่มเติมได้ที่ ::: www.footballmoment.com สามารถติดตามต่อได้ที่ @line :@sportsnews หรือทางfanpage ,
1,https://www.footballmoment.com/2022/05/03/%e0%b9%80%e0%b8%9b%e0%b8%b4%e0%b8%94%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%a7%e0%b8%b1%e0%b8%95%e0%b8%b4%e0%b8%81%e0%b8%ad%e0%b8%87%e0%b8%81%e0%b8%a5%e0%b8%b2%e0%b8%87%e0%b8%8a%e0%b8%b2%e0%b8%a7%e0%b9%84/,เปิดประวัติกองกลางชาวไอวอรี่โคสต์ “แฟรงค์ เคสซี”,วันนี้จะนำทุกท่านมารับชมประวัติกองกลางชาวไอวอรี่โคสต์ วัย 25 ปี แฟรงค์ เคสซี เกิดวันที่ 19 ธันวาคม 2539 เป็นนักฟุตบอลชาว ไอวอรี่โคสต์ ตั้งแต่กำเนิด สูง 183 เซนติเมตร เล่นตำแหน่ง กองกลาง สวมเสื้อหมายเลข 79 ปัจจุบันค้าแข้งอยู่กับสโมสรยักษ์แห่งเวที กัลโช่ เซเรีย อา อิตาลี “เอซี มิลาน” เส้นทางลูกหนังของ แฟรงค์ เคสซี เริ่มต้นในปี 2010-2014 ค้าแข้งกับสโมสร สเตลล่า คลับ ในชุดเยาวชน ถัดมาในปี 2014-2015 ย้ายไปค้าแข้งกับสโมสร อตาลันต้า ในชุดเยาวชน และในปี 2015-2019 ได้ขยับขึ้นมาลงเล่นในชุดสโมสรอาชีพเป็นครั้งแรก กับสโมสร อตาลันต้า ลงเล่นให้กับ อตาลันต้า ไปทั้งหมด 30 นัด ซัดไป 6 ประตู ถัดมาในปี 2015-2016 ย้ายมาค้าแข้งกับสโมสร เอซี เชเซน่า ด้วยสัญญายืมตัว และลงเล่นให้กับ เอซี เชเซน่า ไปทั้งหมด 37 นัด ซัดไป 4 ประตู ถัดมาในปี 2017-2019 ย้ายไปค้าแข้งกับสโมสร เอซี มิลาน ด้วยสัญญายืมตัว โดยลงเล่นให้กับทีมไปทั้งหมด 71 นัด ซัดไป 12 ประตู และในปี 2019 เอซี มิลาน จึงตัดสินใจคว้าตัวด้วยสัญญาถาวรจนถึงปัจจุบัน เคสซี ลงเล่นให้กับ ปีศาจแดงดำ ไปแล้วทั้งหมด 100 นัด ซัดไป 22 ประตู อ่านเพิ่มเติม : ข่าวบอล ,positive
2,https://www.footballmoment.com/2022/05/03/%e0%b8%9c%e0%b8%b9%e0%b9%89%e0%b8%8a%e0%b9%88%e0%b8%a7%e0%b8%a2%e0%b8%81%e0%b8%b8%e0%b8%99%e0%b8%8b%e0%b8%b7%e0%b8%ad-%e0%b9%80%e0%b8%a1%e0%b8%b7%e0%b8%ad%e0%b8%87%e0%b8%97%e0%b8%ad%e0%b8%87-%e0%b8%ad/,ผู้ช่วยกุนซือ เมืองทอง ออกมาเปิดใจหลังพ่าย สวาทแคท,หลังจากที่ เมืองทอง ยูไนเต็ด บุกไปพ่ายให้กับ นครราชสีมา มาสด้า เอฟซี ด้วยสกอร์ 0-2 เมื่อวันอาทิตย์ที่ 1 พ.ค.ที่ผ่านมา ในศึก ไทยลีก 2021-22 ที่สนาม เฉลิมพระเกียรติ 80 พรรษา ทำให้ตอนนี้ เมืองทอง หมดลุ้นขึ้นไปอันดับที่ 3 อย่างเป็นทางการแล้ว และจะหมดสิทธิ์ในการไปลงเล่นในศึก เอเอฟซี แชมเปี้ยนส์ลีก 2023 ล่าสุด ผู้ช่วยผู้ฝึกสอนของ กิเลนผยอง “ดานโญ่ เซียก้า” ได้ออกมาพูดถึงเรื่องนี้ว่า “ที่จริงแล้วเกมนี้นักเตะในทีมเล่นได้ไม่ดีจริงๆ ทุกคนเล่นแบบไม่มีความมั่นใจ และไม่เฉียบขาดพอ และเกมนี้เหมือนเล่นกันแบบไม่มีเป้าหมาย ทั้งๆที่ถ้าชนะก็จะได้โควต้าไปลุย ศึก เอเอฟซี แชมเปี้ยนส์ลีก อย่างไรก็ตาม เกมนี้ นครราชสีมา เล่นได้ดีกว่าอย่างเห็นได้ชัด ทีมเขาตั้งรับกันได้ดีมากๆ ลูกทีมของผมเจาะแทบจะไม่เข้าเลยด้วยซ้ำ มันก็สมควรแล้วที่เขาจะได้ 3 คะแนนเกมนี้ไป และต้องขอแสดงความยินดีกับทีมของเขาด้วย ตอนนี้ผมอยากให้นักเตะทุกคนโฟกัสไปที่เกมถัดไปดีกว่า เพราะจะต้องเล่นในบ้านตัวเอง และผมก็หวังว่านักเตะทุกคนจะสู้กันเต็มที่ และอยากให้แฟนบอลทุกคนคอยเป็นกำลังใจให้กับนักเตะทุกคนต่อไป” เกมถัดไป เมืองทอง ยูไนเต็ด จะเปิดบ้านรับการมาเยือนของ พีที ประจวบ เอฟซี ในวันพุธที่ 4 พ.ค.65 ที่สนามธันเดอร์โดม สเตเดี้ยม อ่านเพิ่มเติม : ข่าวบอล ,neutral
3,https://www.footballmoment.com/2022/05/03/%e0%b8%aa%e0%b8%b7%e0%b9%88%e0%b8%ad%e0%b9%80%e0%b8%9c%e0%b8%a2-%e0%b8%ab%e0%b8%b1%e0%b8%a7%e0%b8%ab%e0%b8%ad%e0%b8%81-%e0%b8%a1%e0%b9%89%e0%b8%b2%e0%b8%a5%e0%b8%b2%e0%b8%a2-%e0%b8%aa%e0%b8%99/,สื่อเผย หัวหอก ม้าลาย สนย้ายไปเล่นใน พรีเมียร์ลีก,เปาโล ดิบาล่า อยู่ในช่วง 2-3 สัปดาห์สุดท้าย ของช่วงเวลาที่เขาเป็นผู้เล่นในสังกัดสโมสร ยูเวนตุส หลังจากที่สโมสรตัดสินใจที่จะขยายสัญญาใหม่ให้เขา ดาวยิงชาวอาร์เจนติน่า เป็นหนึ่งในผู้เล่นที่ดีที่สุดใน อัลลิอันซ์ สเตเดี้ยม และทางสโมสรคาดหวังให้เขากลายเป็นนักเตะคนสำคัญหลังจากที่ คริสเตียโน โรนัลโด ย้ายออกจากสโมสรเมื่อช่วงซัมเมอร์ปีที่แล้ว แต่ดาวยิงรายนี้มีอาการบาดเจ็บบ่อยครั้ง และไม่สามารถเรียกฟอร์มเก่งของเขาออกมาได้ ทางสโมสรจึงตัดสินใจเซ็นสัญญากับ ดูซาน วลาโฮวิช แทน ตอนนี้ดาวยิงชาวเซอร์เบีย จะกลายเป็นคนสำคัญที่ อัลลิอันซ์ สเตเดี้ยม โดย ดิบาล่า จะออกจากสโมสรช่วงซัมเมอร์นี้ และไม่มีใครรู้ว่าเขาจะย้ายไปเข้าร่วมกับสโมสรใดต่อไป แต่เขาได้รับการเชื่อมโยงกับการย้ายไปยังสโมสรอันดับต้นๆในโซนยุโรป จนถึงตอนนี้ อินเตอร์ มิลาน ดูเหมือนจะเป็นเต็งหนึ่งที่จะคว้าตัวอดีตแข้ง ปาแลร์โม อย่างไรก็ตาม มีรายงานออกมาระบุว่า เขาอาจจะออกจาก เซเรีย อา โดยมีการอ้างว่า เขาต้องการย้ายไปเล่นใน พรีเมียร์ลีก อังกฤษ ลีกสูงสุดของอังกฤษ น่าจะเป็นลีกที่ดีที่สุดในโลก และผู้เล่นหลายคนใฝ่ฝันที่จะไปเล่นที่นั่น อ่านเพิ่มเติม : ข่าวบอล ,neutral
4,https://www.footballmoment.com/2022/05/03/%e0%b8%81%e0%b8%ad%e0%b8%87%e0%b8%81%e0%b8%a5%e0%b8%b2%e0%b8%87-%e0%b8%a7%e0%b8%b1%e0%b8%a2-22-%e0%b8%9b%e0%b8%b5-%e0%b9%82%e0%b8%a1%e0%b8%99%e0%b8%b2%e0%b9%82%e0%b8%81-%e0%b8%ad%e0%b8%b2%e0%b8%88/,กองกลาง วัย 22 ปี โมนาโก อาจย้ายออกจากทีมซัมเมอร์นี้,"แมนฯ ยูไนเต็ด และ ลิเวอร์พูล ได้เรียนรู้ว่าต้องใช้เงินเท่าไหร่ในการคว้าตัว โอเรเลียง ชูอาเมนี่ สู่ พรีเมียร์ลีก อังกฤษ นักเตะวัย 22 ปีรายนี้ อยู่ในความต้องการสูง เนื่องจากเขาได้ช่วย เอเอส โมนาโก ผลักดันให้ผ่านเข้ารอบยุโรป และมีรายงานว่า เรอัล มาดริด ก็แสดงความสนใจร่วมกับ เชลซี , ยูเวนตุส และ ปารีส แซงต์-แชร์กแมง ด้วย เด็กหนุ่มเข้าร่วม โมนาโก จาก บอร์กโดซ์ ในปี 2020 และเขาลงเล่นให้กับสโมสรไปแล้วเกือบ 100 เกม สำหรับการค้าแข้งอยู่กับ โมนาโก อย่างไรก็ตาม มีรายงานออกมาระบุว่า โมนาโก อาจจะตั้งค่าหัวของแข้งรายนี้เอาไว้จำนวนถึง 70 ล้านยูโร (ประมาณ 2,539 ล้านบาท) การค้นหากองกลางคนใหม่ของ ปีศาจแดง ทำให้พวกเขาเชื่อมโยงกับ ดีแคลน ไรซ์ แข้งทีมชาติอังกฤษ แต่ทางสโมสร ขุนค้อน ไม่มีแผนที่จะปล่อยแข้งรายนี้ ให้กับสโมสรใดก็ตามมาที่ให้ความสนใจ อย่างไรก็ตาม ชูอาเมนี่ ได้ออกมาพูดถึงว่า “ผมรู้สึกเหมือนได้ก้าวไปในทิศทางที่ถูกต้องอีกครั้ง ในอาชีพการงานของฉัน แต่ผมอายุเพียง 22 ปี และผมคิดว่าผมอาจจะทำได้ดีกว่านี้อีก” ชูอาเมนี่ กล่าว อ่านเพิ่มเติม : ข่าวบอล ",positive
5,https://www.footballmoment.com/2022/05/03/%e0%b8%94%e0%b8%ad%e0%b8%a3%e0%b9%8c%e0%b8%97%e0%b8%a1%e0%b8%b8%e0%b8%99%e0%b8%94%e0%b9%8c-%e0%b8%ad%e0%b8%ad%e0%b8%81%e0%b8%a1%e0%b8%b2%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%81%e0%b8%b2%e0%b8%a8%e0%b8%84/,ดอร์ทมุนด์ ออกมาประกาศ คว้าปราการหลังรายใหม่,โบรุสเซีย ดอร์ทมุนด์ มีความสนใจที่จะเซ็นสัญญากับ กองหลัง ไฟร์บวร์ก นิโค ชล็อตเทอร์เบ็ค และทางสโมสรได้ทำการเจรจาและคว้าตัวแข้งรายนี้อย่างเป็นทางการแล้ว ชล็อตเทอร์เบ็ค จะเข้าร่วมทีม เสือเหลือง ด้วยค่าตัวราวๆ 27.5 ล้านยูโร (ประมาณ 997 ล้านบาท) นักเตะวัย 22 ปีรายนี้เซ็นสัญญากับ เสือเหลือง เป็นระยะเวลา 5 ปี ชล็อตเทอร์เบ็ค เป็นหนึ่งในผู้เล่นที่เป็นที่ต้องการตัวมากที่สุดในเยอรมนี นักเตะทีมชาติรายนี้ทำไป 4 ประตูกับอีก 1 แอสซิสต์ จากการลงเล่น 30 เกมให้กับ ไฟร์บวร์ก ในฤดูกาลนี้ และถูก ฮันซี่ ฟลิค โค้ชทีมชาติเยอรมนี เรียกตัวไปติดทีมชาติอีกด้วย อย่างไรก็ตามทางสโมสร ไฟร์บวร์ก คาดว่าจะเซ็นสัญญากับ มัทธีอัส กินเตอร์ จาก โบรุสเซีย มึนเช่นกลัดบัค เพื่อมาแทน ชล็อตเทอร์เบ็ค แข้งวัย 22 ปีรายนี้เป็นนักเตะทีมชาติเยอรมัน ที่อายุยังน้อยและยังมีความก้าวหน้าได้อีกมาก และทักษะการเล่นของเขาเหมาะกับ เสือเหลือง อย่างสมบูรณ์แบบ มิชาเอล ซอร์ค ผู้อำนวยการกีฬาของ ดอร์ทมุนด์ ได้ออกมากล่าวว่า “อนาคตในวงการลูกหนังของ ชล็อตเทอร์เบ็ค ทำให้ผมนึกถึงตัวเองตอนที่ผมย้ายมายัง ดอร์ทมุนด์ จาก ไฟร์บวร์ก ในฐานะนักเตะอายุน้อยในวัยของเขา” อ่านเพิ่มเติม : ข่าวบอล ,neutral
6,https://www.footballmoment.com/2022/05/03/%e0%b8%9a%e0%b8%97%e0%b8%a7%e0%b8%b4%e0%b9%80%e0%b8%84%e0%b8%a3%e0%b8%b2%e0%b8%b0%e0%b8%ab%e0%b9%8c-%e0%b8%9a%e0%b8%ad%e0%b8%a3%e0%b9%8c%e0%b8%99%e0%b8%a1%e0%b8%b1%e0%b8%98-vs-%e0%b8%99%e0%b9%87/,บทวิเคราะห์ บอร์นมัธ VS น็อตติ้งแฮม ฟอเรสต์,"วันที่ 3 พฤษภาคม 2565 เวลาแข่งขัน : 01:00 น. สนามแข่ง : ดีนคอร์ต ราคาบอล : บอร์นมัธ ต่อ 0/0.5 ผลงานการพบกัน  สภาพทีม บอร์นมัธ เจ้าถิ่น บอร์นมัธ ของกุนซือ สก็อต พาร์กเกอร์ เกมล่าสุดได้พาทีมบุกไปถล่ม แบล็คเบิร์น โรเวอร์ มาอย่างขาดลอย ด้วยสกอร์ 0-3 ส่วนสภาพความพร้อมของทีมในแมตช์นี้ ต้องบอกเลยว่าพวกเขาจะไร้ชื่อนักเตะ คือ จอร์แดน เซมูรา, จูเนียร์ สตานิลาส, มอร์แกน โรเจอร์ส ที่ทั้ง 3 คนนี้ได้มีการบาดเจ็บจะไม่สามารถลงฟาดแข้งในเกมนี้ได้ และเกมนี้คิดว่ากุนซือ สก็อต พาร์กเกอร์ จะวางแผนเกมนี้ในระบบ 4-2-3-1 เพื่อหวัง 3 คะแนน ในเกมนี้ให้ได้ แผนการเล่น บอร์นมัธ (4-2-3-1) ผู้เล่น : มาร์ค ทราเวอร์ส – อดัม สมิธ, นาธาเนียล ฟิลลิปส์, ลอยด์ เคลลี่, จอร์แดน เซมูร่า – ลูอิส คุ้ก, เจฟเฟอร์สัน เลอร์ม่า – ไรอัน คริสตี้, ฟิลิป บิลลิง, จายดอน แอนโธนี่ – โดมินิก โซลันเก้ ผลงานล่าสุด บอร์นมัธ  สภาพทีม น็อตติ้งแฮม ฟอเรสต์ น็อตติ้งแฮม ฟอเรสต์ ที่มีผู้ฝึกสอนของโค้ช สตีฟ คูเปอร์ เกมล่าสุดของทีมได้เปิดรังชนะ สวอนซี ซิตี้ มาอย่างขาดลอย ด้วยสกอร์ 5-1 ส่วนสสถานการณ์ความพร้อมของนักเตะในเกมนี้จะขาด แม็กซ์ โลว์, เคนาน เดวิส และ ลูอิส แกร็บแบน โดยทั้ง 3 คนนี้ได้บาดเจ็บมาจากเกมที่ผ่านมาแล้ว แต่ตำแหน่งอื่นๆพร้อมลงสนามอย่างมาก และเกมนี้คิดว่าโค้ช สตีฟ คูเปอร์ จะนำทัพมาในระบบ 3-4-1-2 เพื่อหวังบุกมาเก็บ 3 คะแนน ในเกมนี้ให้ได้ แผนการเล่น น็อตติ้งแฮม ฟอเรสต์ (3-4-1-2) ผู้เล่น : บริซ แซมบ้า – โจ วอร์รอลล์, สตีฟ คุ๊ก, สกอตต์ แม็คเคนน่า – ดีเจด สเปนซ์, ไรอัน เยตส์, เจมส์ การ์ดเนอร์, แจ็ค โคลแบ็ก – ฟิลิป ซินเคอร์นาเคล – เบรนแนน จอห์นสัน, แซม เซอร์ริดจ์ ผลงานล่าสุด น็อตติ้งแฮม ฟอเรสต์  ตารางคะแนน  วิเคราะห์บอล เจ้าถิ่น บอร์นมัธ ลงสนามไปแล้ว 44 เกม ชนะ 23 เกม เสมอ 13 เกม และแพ้ 8 เกม เก็บได้ 82 คะแนน รั้งรองจ่าฝูงของตารางในขณะนี้ ส่วนทีมเยือน น็อตติ้งแฮม ฟอเรสต์ ลงสนามไปแล้ว 44 เกม ชนะ 23 เกม เสมอ 10 เกม และแพ้ 11 เกม เก็บได้79คะแนนรั้งอันดับ3ของตาราง แต่ถ้าให้เทียบผลงานของแต่ละทีม ต้องบอกเลยว่าทั้งสองทีมทำผลงานได้ดีทั้งคู่ แต่ถ้าให้ฟันธงในเกมนี้เชื่อว่าเจ้าถิ่น บอร์นมัธ จะสามารถเปิดรังคว้า 3 แต้ม ในเกมนี้ได้อย่างแน่นอน อ่านเพิ่มเติม ข่าวบอล ",neutral
7,https://www.footballmoment.com/2022/05/03/%e0%b8%81%e0%b8%ad%e0%b8%87%e0%b8%ab%e0%b8%99%e0%b9%89%e0%b8%b2%e0%b8%94%e0%b8%b2%e0%b8%a7%e0%b8%a3%e0%b8%b8%e0%b9%88%e0%b8%87-%e0%b8%a7%e0%b8%b1%e0%b8%a2-18-%e0%b8%9b%e0%b8%b5-%e0%b8%9a%e0%b8%b2/,กองหน้าดาวรุ่ง วัย 18 ปี บาร์ซ่า กำลังได้รับความสนใจจาก 2 ยักษ์ใหญ่,มีรายงานว่า อาแจ็กซ์ และ โบรุสเซีย ดอร์ทมุนด์ สนใจที่จะเซ็นสัญญากับ ฟาบิโอ บลังโก้ แข้งอัจฉริยะชาวสเปนของ บาร์เซโลน่า ในช่วงตลาดซื้อขายซัมเมอร์นี้ ตามรายงานของ สื่อสัญชาติสเปน อาแจ็กซ์ และ โบรุสเซีย ดอร์ทมุนด์ ได้ตั้งเป้าไปที่ ฟาบิโอ บลังโก้ เกี่ยวกับความเป็นไปได้ในการย้ายทีมในช่วงซัมเมอร์นี้ บาร์เซโลน่า สามารถขายอัจฉริยะชาวสเปนก่อนเริ่มฤดูกาล 2022/23 กองหน้าดาวรุ่งวัย 18 ปีรายนี้ เคยลงเล่นให้กับ ยูดี อัลเมเรีย ในชุดสโมสรเยาวชนก่อนจะย้ายไป บาเลนเซีย หลังจากที่เขาได้ลงเล่นและสร้างผลงานให้ บาเลนเซีย แข้งรายนี้ก็กลายเป็นบุคคล ที่ต้องการตัวอย่างมากในตลาดนักเตะ และเมื่อเร็วๆนี้ ชาบี เอร์นานเดซ ได้ออกมาเปิดเผยว่า ทางสโมสรอาจจะขายแข้งรายนี้ให้กับ อาแจ็กซ์ และ โบรุสเซีย ดอร์ทมุนด์ เนื่องจากทั้ง 2 สโมสรกระตือรือร้นที่จะคว้าตัวกองหน้าวัย 18 ปีรายนี้ไปร่วมทัพ เนื่องจาก เจ้าบุญทุ่ม มองว่า แข้งรายนี้อาจจะต้องออกไปเก็บเกี่ยวประสบการณ์เพิ่มอีก เพราะปัจจุบันนักเตะในสโมสรก็มีมากเพียงพอแล้ว แถมทางสโมสรพึ่งจะได้ตัว ปิแอร์ เอเมอริค โอบาเมยอง รวมไปถึง อดม่า ตราโอเร่ มาร่วมทัพเมื่อช่วงตลาดหน้าหนาวที่ผ่านมา อ่านเพิ่มเติม : ข่าวบอล ,neutral
8,https://www.footballmoment.com/2022/05/03/%e0%b8%a5%e0%b8%b4%e0%b9%80%e0%b8%a7%e0%b8%ad%e0%b8%a3%e0%b9%8c%e0%b8%9e%e0%b8%b9%e0%b8%a5-%e0%b8%95%e0%b9%89%e0%b8%ad%e0%b8%87%e0%b8%97%e0%b8%b3%e0%b8%97%e0%b8%b8%e0%b8%81%e0%b8%a7%e0%b8%b4%e0%b8%96/,ลิเวอร์พูล ต้องทำทุกวิถีทาง เพื่อเซ็นสัญญามิดฟิลด์ จิ้งจอกสยาม,"ลิเวอร์พูล ต้องทำทุกวิถีทางเพื่อเกลี้ยกล่อม ยูริ ติเลอมองส์ มิดฟิลด์ระดับท็อปให้ย้ายมาที่ แอนฟิลด์ ในช่วงซัมเมอร์นี้ โดยทาง หงส์แดง ได้มองหานักเตะที่สามารถมาทำหน้าที่ คล้ายกับอดีตแข้งของสโมสร จอร์จินิโอ ไวจ์นัลดุม ที่ตอนนี้ค้าแข้งอยู่กับ ปารีส แซงต์-แชร์กแมง ได้แล้ว ตามรายงานจากสื่อชั้นนำในประเทศเบลเยียม ติเลอมองส์ บอกกับคนใกล้ตัวว่า เขาอยากย้ายไปสเปน มากกว่าหากเขาย้ายออกจาก เลสเตอร์ ซิตี้ จึงทำให้ ลิเวอร์พูล รู้สึกต้องรีบทำทุกทาง เพื่อไม่ให้แข้งรายนี้ย้ายไปค้าแข้งกับสโมสรอื่นในช่วงซัมเมอร์นี้ เนื่องจากทางสโมสรได้ให้ความสนใจเขา มาซักระยะนึงแล้ว อย่างไรก็ตาม หงส์แดง ยังคงหวังว่าจะสามารถโน้มน้าวให้เขาย้ายไปเมอร์ซีย์ไซด์ได้ เพื่อให้โอกาสเขาในการลงเล่นภายใต้ เจอร์เก้น คล็อปป์ หนึ่งในผู้จัดการทีมที่ดีที่สุด ิในวงการลูกหนังและนี่ยิ่งทำให้เป็นสิ่งที่น่าดึงดูดใจอย่างมาก แต่ด้วยการแสดงความสนใจของ เรอัล มาดริด พวกเขาอาจเอาชนะ หงส์แดง ได้ เนื่องจาก ราชันชุดขาว มีแนวโน้มในการคว้าแชมป์มากกว่า หงส์แดง เนื่องจากมิดฟิลด์รายนี้ต้องการถือถ้วยแชมป์ซักครั้งนึงในชีวิต และคาดว่า จิ้งจอกสยาม ได้ตั้งค่าตัวแข้งรายนี้ไว้ที่ราวๆ 50 ล้านปอนด์ (ประมาณ 2,155 ล้านบาท) อ่านเพิ่มเติม : ข่าวบอล ",neutral
9,https://www.footballmoment.com/2022/05/03/%e0%b9%84%e0%b8%ae%e0%b9%84%e0%b8%a5%e0%b8%97%e0%b9%8c-%e0%b9%81%e0%b8%a1%e0%b8%99%e0%b9%80%e0%b8%8a%e0%b8%aa%e0%b9%80%e0%b8%95%e0%b8%ad%e0%b8%a3%e0%b9%8c-%e0%b8%a2%e0%b8%b9%e0%b9%84%e0%b8%99-25/,ไฮไลท์ แมนเชสเตอร์ ยูไนเต็ด – เบรนท์ฟอร์ด,สามารถติดตามไฮไลท์ฟุตบอลเพิ่มเติมได้ที่ ::: www.footballmoment.com สามารถติดตามต่อได้ที่ @line :@sportsnews หรือทางfanpage ,
