,URL,Content_title,Contents,Sentiment
0,https://www.sportsmole.co.uk/football/celtic/transfer-talk/news/celtic-set-to-sign-jota-permanently-for-gbp6point3m_484862.html,Celtic 'set to sign Jota permanently for £6.3m',"The 23-year-old – who was recently named in the PFA Scottish Premiership Team of the Year – has excelled for the Hoops since joining on loan from Benfica last summer, contributing to 24 goals in 37 appearances across all competitions. Jota netted his 12th strike of the campaign in the 1-1 draw at home against Old Firm rivals Rangers last weekend. According to journalist Barry Anderson, Celtic are expected to activate the £6.3m buyout clause in Jota's deal, which will see the attacker move to Parkhead permanently this summer. The Portugal Under-21 international is understood to have informed his parent club Benfica that he wishes to remain in Glasgow and commit his future to Celtic. The prospect of playing Champions League football with Celtic next season is likely to have been a factor in Jota's decision, with the Hoops currently sitting six points clear at the top of the Scottish Premiership with just three games remaining. Celtic are also understood to be working on a deal to recruit centre-back Cameron Carter-Vickers on a permanent deal, and talks with Tottenham Hotspur are believed to be at an advanced stage.  ",positive
1,https://www.sportsmole.co.uk/football/man-utd/transfer-talk/news/steven-bergwijn-opens-door-to-manchester-united-move_484861.html,Tottenham Hotspur's Steven Bergwijn opens door to Manchester United move,"The Netherlands international already found himself behind Lucas Moura in the Spurs pecking order and has been pushed further down since the arrival and solid form of Dejan Kulusevski. Bergwijn arrived at the club as a 22-year-old from PSV Eindhoven for a £27m fee in the January window two years ago, but he has struggled to nail down a regular spot in the first XI. A dream Premier League debut saw Bergwijn net in a 2-0 victory at home to Manchester City, while he has appeared on 29 occasions in all competitions during the 2021-22 season. However, Bergwijn has only managed to register four goals and two assists in that spell, with both of his Premier League strikes coming in that dramatic late victory at Leicester City back in January. Bergwijn's heroics in that game have not led to better fortunes for the 24-year-old, though, and he has only made the first XI in four top-flight games this term. © Reuters As a result, Bergwijn is being strongly linked with an exit from Antonio Conte's side in the upcoming summer window as he pushes for a place in the Netherlands squad at the 2022 World Cup. With Bergwijn's compatriot Erik ten Hag taking over at Manchester United in the summer, the Red Devils are supposedly interested in bringing the Dutchman to Old Trafford as part of their attacking shake-up. The former PSV man has now admitted that a transfer away from Spurs is the likeliest option at the end of the season, telling Dutch outlet AD: ""A starting place here? I honestly don't think so. ""It's a difficult story for me. It's good up front, but I don't play much. There are still four games to go. After that, we will see in the summer what is best for both parties. It's important to me that I'm going to play now."" Bergwijn spent six years in the youth setup at Ajax between 2005 and 2011 before heading for PSV, and the Dutchman would be open to a return to the Amsterdam giants. ""Ajax would certainly be an option. A return to the Netherlands would certainly be an option for me. The World Cup is coming. Mr Van Gaal, the national coach, brought me into the squad last time, even though I didn't play much,"" Bergwijn added. © Reuters ""Of course it's nice that you just score those goals and show that you can be a full-fledged player. But then you come back to the club and you hardly play. In the summer we really have to look for a solution."" When asked about the prospect of linking up with Ten Hag at Man United next season, Bergwijn left the door open to a possible move, responding: ""I haven't spoken to him yet, but who knows, maybe that will happen."" Bergwijn was brought off the bench for the final eight minutes of Sunday's 3-1 home win over Leicester City, and he has not started a Premier League game for Conte's side since their 2-0 loss to Chelsea on January 23. The Dutchman has now made a total of 80 appearances in all competitions for the North London club, during which time he has scored eight goals and set up 10 more. In spite of his struggles at club level, Bergwijn came up with the goods for the Netherlands in March's international friendlies, bagging a brace against Denmark in a 4-2 win before also making the net ripple in a 1-1 draw with Germany. The three-time Eredivisie champion remains under contract at Tottenham until the end of the 2024-25 campaign, and the Lilywhites may allegedly be prepared to consider offers of around £15m for the out-of-favour attacker this summer.  ",positive
2,https://www.sportsmole.co.uk/football/spurs/transfer-talk/news/marcelo-set-for-new-real-madrid-contract_484853.html,Marcelo set for new Real Madrid contract?,"For a number of months, it has been deemed inevitable that the 33-year-old would end his legendary career at the Santiago Bernabeu, one which started all the way back in 2007, when his deal expired in the summer. Speculation persists that Los Blancos are on the lookout for a younger replacement with a return for Tottenham Hotspur's Sergio Reguilon seemingly the most likely option. However, according to reports in Spain, the newly-crowned La Liga champions are given consideration to extending the Brazilian's deal by another 12 months. Although Marcelo is now very much second-choice behind Ferland Mendy, he is said to have told club officials of his preference to stay at Real. Marcelo has made just five starts in Spain's top flight this campaign, one of them coming at the weekend as Real wrapped up the title with a 4-0 victory over Espanyol.  ",positive
3,https://www.sportsmole.co.uk/football/barcelona/transfer-talk/news/barcelona-decide-against-permanent-traore-deal_484852.html,Barcelona 'decide against permament Adama Traore deal',"Soon after his January arrival, Traore produced the kind of game-influencing performances that suggested that Barcelona taking up a €30m (£25.15m) option would become a formality. However, despite making a total of eight starts and seven substitute appearances for Barcelona in all competitions, the former academy graduate finds himself down the pecking order. According to Marca, Barcelona currently have no intention of signing the 26-year-old on a full-time basis with Ousmane Dembele and Memphis Depay now part of Xavi's plans going forward. While there is scope for Barcelona trying to negotiate a lower fee with Wolves, the Premier League club are unlikely to be willing to accommodate a change of finances. Furthermore, Wolves are also unlikely to take up their own chance to keep Barcelona loanee Francisco Trincao, the value option seemingly being keeping Traore for next season even if he chooses not to extend his contract past 2023.  ",positive
4,https://www.sportsmole.co.uk/football/man-utd/transfer-talk/news/cristiano-ronaldo-hints-at-manchester-united-stay_484851.html,Cristiano Ronaldo hints at Manchester United stay,"Despite netting his 24th goal of the season against Brentford on Monday night, speculation persists that the Portuguese could move on at the end of the campaign having not always made a regular impact in attack. However, while Real Madrid are said to be among the clubs who are monitoring the situation, the Portuguese superstar has given an indication of his future plans by suggesting that his focus is on winning silverware at his current team. In a social media post, the 37-year-old said: ""Once again, great support from the stands. Let's take this opportunity of our last game of the season at Old Trafford to thank our amazing supporters, who endured a difficult season by our side and never abandoned us. ""Thanks, guys. Your support means the world to us and our goal is to become better everyday, so that we can achieve what we all want: glory for Man. United!"" Ronaldo currently has a contract at United until the end of 2022-23, with there being an option for an extra year should both parties mutually agree on the matter.  ",positive
5,https://www.sportsmole.co.uk/football/spurs/transfer-talk/news/spurs-handed-boost-in-stefan-de-vrij-race_484850.html,Tottenham Hotspur 'handed boost in Stefan de Vrij race',"The 30-year-old has established himself as a key man at San Siro during his four years at the club, making a 161 appearances in all competitions and winning a Serie A title last season. However, while the Netherlands international remains an important member of Simone Inzaghi's squad, it appears increasingly likely that he will be sold during the summer transfer window. According to Football Insider, Inter will be prepared to accept a fee of £15m, a huge drop in a valuation which was once set around the £40m mark. Tottenham Hotspur are known to be admirers of the player with De Vrij's former boss Antonio Conte in charge and keen to make changes to his backline. The report adds that Newcastle United and Aston Villa are also monitoring the situation as they bid to put together squads capable of challenging for European qualification.  ",positive
6,https://www.sportsmole.co.uk/football/man-utd/transfer-talk/news/rangnick-man-united-need-top-quality-players_484849.html,Ralf Rangnick: 'Manchester United need top-quality players',"Despite Monday's 3-0 victory over Brentford in the Premier League, United are clear outsiders to qualify for next season's Champions League with fourth position in the standings looking unlikely. Ajax boss Erik ten Hag has already been appointed as a replacement for Rangnick, who will take on an advisory role, and the pair will both play their part in an Old Trafford rebuild during the upcoming transfer window. While Rangnick has revealed that the duo are yet to hold discussions regarding new players, the German acknowledged that ""top-quality players"" need to arrive at the club. Speaking to Sky Sports, Rangnick said: ""So far we haven't been able to speak. Erik's focus is on winning the Dutch league, our focus was on our games. ""It's obvious quite a few players will leave and there is a need for top-quality players. I strongly believe that if everyone works together we can bring Man United back to where we need to be. ""Other clubs only needed two or three transfer windows to challenge but from now on we need to bring in top-quality players who really help raise the level. If this happens then I don't think it should take too long."" United end the season with visits to Brighton & Hove Albion and Crystal Palace respectively.  ",positive
7,https://www.sportsmole.co.uk/football/arsenal/transfer-talk/news/arsenal-to-make-one-final-attempt-to-keep-nketiah_484844.html,Arsenal 'to make one final attempt to keep Eddie Nketiah',"The 22-year-old's contract expires in June, and has so far rejected numerous contract extensions offered to him by the North London club. Nketiah is seeking reassurances over his first-team opportunities at the Emirates Stadium, particularly if the Gunners decide to sign Gabriel Jesus from Manchester City, as has been reported recently. However, after previously struggling to nail down a regular first-team spot in the Arsenal side, the striker has gone on to make four consecutive starts since leading the line at Southampton back in April. Due to his upturn in opportunities and form, the Daily Mail are reporting that the Arsenal hierarchy will make one last effort to convince Nketiah to sign a new deal in order to extend his stay. Although, the report outlines how Nketiah is said to be holding out until the end of the campaign to discuss his future, with several clubs said to be interested in acquiring his signature on a free transfer deal once the season comes to a close, including Crystal Palace. After recently featuring in the Arsenal starting lineup, the England Under-21s international has gone on to make 17 Premier League appearances so far this season, scoring two goals, which both arrived in the recent 4-2 win over Chelsea at Stamford Bridge.  ",positive
8,https://www.sportsmole.co.uk/football/man-utd/transfer-talk/news/liverpool-man-utd-quoted-gbp59m-for-tchouameni_484843.html,"Liverpool, Manchester United 'quoted £59m for Aurelien Tchouameni'","The 22-year-old is being linked with a host of top European clubs ahead of a possible transfer in the upcoming transfer window, following an impressive couple of campaigns in Ligue 1. With the summer window fast approaching, Monaco have declared that it will take a bid of €70m (£58.9m) from interested clubs to secure the Frenchman's services, according to AS. The report suggests how the fee is likely to be too expensive for Real Madrid, Juventus and Chelsea, who also hold an interest in acquiring Tchouameni's signature at the end of the 2021-22 campaign. Meanwhile, Arsenal are also said to have joined the race for the midfielder in recent days, whilst Manchester City have been credited with an interest in the former Bordeaux man too. Tchouameni has made 32 Ligue 1 appearances so far this season, scoring one goal and registering one assist, to help his side to a current seven-game winning streak as they look to qualify for next season's Champions League.  ",positive
9,https://www.sportsmole.co.uk/football/russia/news/uefa-block-russian-bids-for-euro-2028-euro-2032_484842.html,"UEFA block Russian bids for Euro 2028, Euro 2032","The latest sanctions come amid Russia's continued invasion of Ukraine, with many world governments and bodies taking action against the country as a result of the war. After confirming its interest in hosting the international tournaments back in March, which the UK and Ireland, and Turkey, have also declared an interest in hosting, Russia's bids have been declared ineligible by Europe's football governing body. UEFA stated that the bid was ineligible in accordance with article 16.02 of the bid regulations, which states that ""each bidder shall ensure that it does not act in a manner that could bring UEFA, any other bidder, the bidding procedure or European football into disrepute."" Following suspensions by FIFA and UEFA ""until further notice"" back in February, Russian clubs and national teams now face further restrictions on the competitions in which they can compete too. The latest ban means that Russian clubs will not be able to compete in either the men's or women's Champions League, Europa League or Conference League campaigns for the 2022-23 season. In addition, the women's national team has been barred from competing in the Euro 2022 tournament this summer, and also prohibited from competing in the qualification for the 2023 World Cup too.  ",positive
10,https://www.sportsmole.co.uk/football/man-utd/transfer-talk/news/man-utd-psg-have-discussed-milinkovic-savic-bids_484841.html,"Man United, Paris Saint-Germain 'have discussed Sergej Milinkovic-Savic bids'","The Serbian has long been linked with a move to some of Europe's top clubs, but no transfer has yet materialised despite years of speculation. However, with both the Red Devils and Les Parisiens said to be targeting moves for central midfielders in the upcoming transfer window, 90min are reporting that both sides have explored the possibility of luring the 27-year-old away from Serie A. However, the report does outline how no negotiations or bids have actually taken place at this stage, despite a story in France suggesting the player's agent had been holding discussions with the interested clubs. The report continues with how Declan Rice continues to be the number one target for the United hierarchy, with Wolverhampton Wanderers midfielder Ruben Neves also being an option. Meanwhile, PSG are said to be prioritising a move for United's out-of-contract Frenchman Paul Pogba, although both sides do retain an interest in Milinkovic-Savic still.  ",positive
11,https://www.sportsmole.co.uk/football/arsenal/injury-news/news/thomas-partey-hints-at-injury-return-soon_484840.html,"Thomas Partey hints at injury return ""soon""","The 28-year-old has been sidelined for the Gunners since limping off with a thigh injury in the 3-0 defeat at Crystal Palace at the beginning of April. Arsenal boss Mikel Arteta had recently suggested that the Ghanaian's involvement this season was over as a result of the injury, before suggesting in recent days that his midfielder was progressing well in his recovery. Following Arsenal's 2-1 win at West Ham United on Sunday, the North London club posted a video of Gabriel's goal scored at the London Stadium on its official Twitter account. Partey then responded to the tweet on Monday with: ""Tom X Tom soon,"" with this possibly suggesting a link up with Arsenal full-back Takehiro Tomiyasu again in the coming weeks. Should Partey have made a quicker recovery than expected, he could feature in Arsenal's next game against Leeds United at the Emirates Stadium on Sunday, with the Gunners leading Tottenham Hotspur and Manchester United in the race for the Premier League top four as things stand. The former Atletico Madrid midfielder faces competition for his place in the starting lineup however, with Mohamed Elneny impressing in his place alongside Granit Xhaka at the base of the midfield.  ",negative
