,URL,Content_title,Contents,Sentiment
0,https://www.standard.co.uk/sport/football/chelsea-fc-takeover-latest-news-sir-jim-ratcliffe-todd-boehly-b997584.html,Chelsea takeover: Sir Jim Ratcliffe still hoping to hijack Todd Boehly deal with bid seen as viable option,"ir Jim Ratcliffe is still hoping to hijack the deal to buy Chelsea, despite Todd Boehly being named as the preferred bidder. One of Britain’s richest men launched a last-minute move for the club on Friday, throwing fresh uncertainty over a process that is finally nearing completion. US merchant bank Raine Group were in the process of confirming to the three shortlisted contenders who would be submitted to the Treasury as the successful candidate when Ratcliffe’s £4.25billion offer was revealed. While Boehly is now in a five-day period of exclusive negotiations, Ratcliffe’s bid remains on the table and is still seen by sources close to the process as a viable option. As a result Raine are still to publicly confirm Boehly as their choice to buy out Roman Abramovich. It is believed that an increased offer from Ratcliffe - owner of INEOS - could be enough to blow the process wide open. Sir Jim Ratcliffe has made a last-ditch attempt to buy Chelsea from Roman Abramovich (Martin Rickett/PA) It is thought he bypassed Raine in making his offer, thus avoiding the complex bidding process set up by the bank. Steve Pagliuca and Sir Martin Broughton were informed on Friday afternoon that their bids had been unsuccessful. Boehly had been the outstanding favourite from the moment the Ricketts family pulled out on the eve of final offers being made. His plans to redevelop Stamford Bridge were among the strongest points of his bid, while he also had the advantage of already carrying out due diligence when previously trying to buy the club. Ratcliffe was also a former suitor and his dramatic insertion into the process could yet have an impact. He has not been told his bid is too late. While Boehly has the chance push through his buyout, the threat of Ratcliffe will leave him aware that there can be no hitches for fear of seeing his rival steal in. In a statement, INEOS said: “This is a British bid, for a British club. We believe that a club is bigger than its owners who are temporary custodians of a great tradition. With responsibility to the fans and the community. “That is why we are committing to spending £1.75bn over 10 years that will be for the direct benefit of the club. We will invest in Stamford Bridge to make it a world-class stadium, befitting of Chelsea FC. This will be organic and on-going so that we will not move away from the home of Chelsea and risk losing the support of loyal fans. “We believe that London should have a club that reflects the stature of the city. One that is held in the same regard as Real Madrid, Barcelona or Bayern Munich. We intend Chelsea to be that club.” ",positive
1,https://www.standard.co.uk/sport/football/chelsea-fc-romelu-lukaku-transfer-news-ac-milan-newcastle-b997605.html,Chelsea striker Romelu Lukaku to reject AC Milan and Newcastle interest but Thomas Tuchel frustration growing,"omelu Lukaku will reject any interest from AC Milan this summer, placing fresh uncertainty over his future. The Chelsea striker also has no interest in Newcastle, one of the few teams seen as being able to afford his salary and transfer fee. The Belgium international’s position at Stamford Bridge is under intense scrutiny after being consigned to the fringes by Thomas Tuchel in recent months. He has made only one Premier League start since late February and was an unused substitute in Chelsea’s 1-0 defeat to Everton on Sunday. Lukaku has endured a miserable return to Chelsea after his club-record £97.5million move from Inter Milan last summer. He has struggled to adapt to Tuchel’s system, while injuries have also disrupted his campaign. Meanwhile, his relationship with his manager was strained by his decision to conduct an interview with Italian TV, in which he was critical of Tuchel’s system. While Chelsea’s head coach insisted the situation was resolved, Lukaku has largely been reduced to the role of substitute during the second half of the season. The player is growing increasingly frustrated by his lack of opportunities, with Tuchel’s decision not to use him at Goodison Park - despite being in desperate search of a goal - surprising sources close to Lukaku. It has been noted that he remains Chelsea’s joint second-highest goalscorer this season, despite his lack of starts and injury problems. Tuchel has publicly stated that it is down to Lukaku to prove he can lead his attack and live up to the expectations that accompanied his return to the club. But the German continues to select Kai Havertz ahead of him as a makeshift striker. That raises serious questions about Lukaku’s future, with major doubts over whether he can convince Tuchel to build his attack around him. Milan have emerged as a potential escape route but Lukaku would be reluctant to further upset Inter fans, who he made such an effort to appease with his ill-judged Sky Italia interview. Chelsea know there are few clubs who would be willing to offer them anything like the money they paid for Lukaku, which could block any chance of him moving on this summer. His wages, believed to be around £300,000-a-week, would rule out the vast majority of possible suitors. Romelu Lukaku has only made one Premier League start since February as his Chelsea struggles continue Newly-rich Newcastle were widely seen as one of the few clubs that would not be put off by the financial package required, even though it is unclear if they have any interest. But it is understood Lukaku would not entertain a move to St James’ Park. It remains to be seen what approach Chelsea’s new owners take with the former Manchester United player. While Roman Abramovich has largely been prepared to write off big-money signings, his successor may not. Todd Boehly, who is in exclusive talks to buy the club, has made it clear that he sees sports teams as investment opportunities. It is unlikely he would be comfortable with the most expensive player in the club’s history sitting on the bench. But the American is also believed to want Tuchel at the heart of his Chelsea revolution, which could mean more misery for Lukaku, whose preference is to stay and turn his fortunes around at the club he supported as a boy. ",positive
2,https://www.standard.co.uk/sport/football/christian-eriksen-transfer-news-brentford-tottenham-man-utd-b997610.html,Brentford confident over Christian Eriksen stay as Tottenham and Manchester United eye summer deal,"homas Frank believes Brentford “have a very good chance” of keeping Christian Eriksen beyond this season. Eriksen, who joined Brentford on a six-month deal in January, has been a revelation back in the Premier League and has helped propel the Bees away from the relegation zone. After proving he can still perform at his previous levels after recovering from a cardiac arrest while playing for Denmark last June, the 30-year-old midfielder is a target for rivals clubs. Tottenham are considering a move to re-sign Eriksen in the summer, while Manchester United and Newcastle have also been linked with a move for him. But Brentford are keen to extend his deal and believe they are in a strong position to keep him. Speaking after Brentford lost 3-0 against United at Old Trafford last night, Frank said: “I am always positive. I always believe we have a very good chance. I know he is happy here, he is enjoying his football. It is a decision that will be taken at the end of the season.” Asked how Brentford are trying to convince Eriksen to stay, Frank said: “Very simple, I speak to him. We are presenting our plans and discussing it back and forth.” Last night’s defeat leaves Brentford 14th in the Premier League table, eight points clear of the relegation zone. ",positive
3,https://www.standard.co.uk/sport/football/cristiano-ronaldo-future-man-utd-ralf-rangnick-b997571.html,Cristiano Ronaldo drops strong hint over Manchester United future amid Ralf Rangnick backing,"ristiano Ronaldo has seemingly hinted that he will be staying at Manchester United this summer. The Portugese superstar’s two-year contract at Old Trafford is not set to expire until June 2023, yet there has been fierce debate over recent months as to whether he should leave for a second time at the end of the season. While Ronaldo has proved United’s saviour on plenty of occasions with 24 goals in 38 appearances across all competitions this term, many have questioned his place in what is expected to be a drastic rebuild of the ailing Red Devils under new permanent manager Erik ten Hag. However, the five-time Ballon d’Or winner appeared to strongly hint that he would be staying put after again enjoying a starring role against Brentford in the Premier League on Monday night. Ronaldo is now only four strikes behind Liverpool leader Mohamed Salah in the Golden Boot race after dispatching a second-half penalty in the morale-boosting 3-0 victory over Brentford. He had earlier seen an initial effort ruled out for offside before the interval. Cristiano Ronaldo enjoyed a starring role again for Manchester United in their 3-0 win over Brentford After emphatically scoring his spot-kick, Ronaldo pointed to himself and then down to the Old Trafford turf, seemingly indicating that he may be staying after all. Then, while soaking up the adulation of the fans during a post-match lap of honour to mark the last home match of a difficult United campaign, he appeared to mouth to the Sky Sports cameras: “I’m not finished.” Interim boss Ralf Rangnick insisted once again after the win over Brentford that any decision on Ronaldo’s future should be deferred to Ten Hag, yet he backed the 37-year-old to remain part of the squad despite his repeated claims that United will need to sign at least two top-class strikers this summer. “The way we played again tonight, not only because he scored he also won the penalty and helped defensively, why should he not be part of the squad and help the team?” said Rangnick. “But this is a question you have to ask Erik and also Cristiano. “Cristiano is not a central striker. He does not want to play in that position but if you look at international football there are not many teams who play with two strikers. “For me, it is a question of what players Manchester United have in the future. It is obvious United need two more quality strikers. Modern strikers do not necessarily have to be strikers. Liverpool or Manchester City have five or six top-class strikers. If you ask me if Gabriel Jesus or Jack Grealish is a winger or a striker, they can all play there. “Mason Greenwood would have been one, then after the West Ham game he was no longer part of the squad. Anthony Martial was on loan and Edinson Cavani injured.” ",positive
4,https://www.standard.co.uk/sport/football/fulham-win-championship-aleksandar-mitrovic-luton-result-2022-b997522.html,Fulham 7-0 Luton: Marco Silva’s side storm to Championship title as Aleksandar Mitrovic breaks record,"ulham won the Championship title with a 7-0 victory over Luton Town on Monday afternoon. Star striker Aleksandar Mitrovic bagged his 43rd goal of the season, breaking Guy Whittingham’s long-standing record after scoring a brace. Tom Cairney opened the scoring before Kenny Tete, Fabio Carvalho, Bobby De Cordorva-Reid and Jean Michael Seri joined Mitrovic on the scoresheet. The full-time whistle was followed by a pitch invasion at Craven Cottage as selfie-hunting fans mobbed the players before they were ushered off for the trophy presentation. The London club also became the first team in two decades to score more than a 100 goals in a single season in the second tier as six different players found the back of the net against Luton. SPONSORED Fulham were led by a brace from Serbian striker and top scorer Mitrovic, who has now scored 43 goals in 43 games this season -- a record for the division since the Premier League was founded in 1992. Fulham will finish their season with a trip to fifth-placed Sheffield United on Saturday. The result leaves Luton in sixth and final playoff spot, level with United on 72 points and two points above Middlesbrough. Addditional reporting from PA ",positive
5,https://www.standard.co.uk/sport/football/villarreal-vs-liverpool-champions-league-how-can-i-watch-live-tv-coverage-stream-today-b997520.html,Villarreal vs Liverpool live stream: How can I watch Champions League semi-final on TV in UK today?,"iverpool take a healthy lead to Villarreal tonight as they bid to reach a third Champions League final in five years. A relatively routine 2-0 victory at Anfield has Jurgen Klopp’s side strong favourites to progress, even despite Unai Emery’s excellence in European competition. The quadruple is very much still on for Liverpool and, barring the kind of turnaround not often seen before in Champions League history, they will soon be in their third cup final of the campaign. That’s not to say it will be easy, however. Villarreal did not exactly impress last time out but beating Juventus and Bayern Munich deserves a huge amount of respect. If there’s one manager capable of turning this type of situation around, Emery has to be high up on that list. SPONSORED TV channel: In the UK, the semi-final second leg will be televised live on BT Sport 2 and BT Sport Ultimate, with coverage beginning at 7pm. Live stream: Subscribers will also be able to watch the match online via the BT Sport website or app. Live blog: You can also follow all the action tonight via Standard Sport’s dedicated match blog. ",positive
6,https://www.standard.co.uk/sport/football/villarreal-vs-liverpool-fc-prediction-kick-off-time-tv-live-stream-latest-team-news-lineups-h2h-results-champions-league-2022-preview-b997484.html,"Villarreal vs Liverpool: Prediction, kick off time, TV, live stream, team news, lineups and h2h results today","iverpool travel to Villarreal for their Champions League semi-final second-leg tie tonight looking to get the job done. The quadruple-chasing Reds travel to eastern Spain holding a commanding 2-0 lead in their last-four tie after a Pervis Estupinan own goal and Sadio Mane’s second-half effort in a one-sided first leg at Anfield last week. However, manager Jurgen Klopp is not taking anything for granted on the road to Paris, insisting it is a difficult scoreline as Unai Emery pledged to make his side “suffer” in Tuesday’s return clash. Liverpool followed up that dominant win over Villarreal in which they held 73 per cent of the overall possession and allowed only one shot (which was off-target) by triumphing at Newcastle on Saturday, with Naby Keita’s fourth goal of the season in the early Premier League kick-off ensuring they piled the pressure on title rivals Manchester City, who responded with a routine 3-0 victory at Leeds later in the day to regain top spot with four games to go. Much-changed Villarreal, meanwhile, slumped to a disappointing 2-1 defeat at relegation-threatened Alaves at the weekend, leaving them seventh in LaLiga, four points adrift of the top six and nine behind Atletico Madrid in fourth. Their hopes of playing in Europe at all next season could well now rest on pulling off an incredible comeback against six-time champions Liverpool and winning the whole competition, with either Real Madrid or Manchester City awaiting the winners of this tie in the final at the Stade de France on May 28. Liverpool vs Villarreal is scheduled for an 8pm BST kick-off on Tuesday May 3, 2022. The match will take place at the Estadio de la Ceramica - better known as El Madrigal - in Villarreal, Spain. TV channel: In the UK, the semi-final second leg will be televised live on BT Sport 2 and BT Sport Ultimate, with coverage beginning at 7pm. Live stream: Subscribers will also be able to watch the match online via the BT Sport website or app. Live blog: You can also follow all the action on the night via Standard Sport’s dedicated match blog. Liverpool will remain without Roberto Firmino on Tuesday, though the Brazilian forward is now back running after nursing a foot issue and is set to travel to Spain with his team-mates. Divock Origi will be assessed after missing the win over Newcastle through non-Covid illness, though Curtis Jones and Kostas Tsimikas are available again. Klopp made five changes in total at St James’ Park, with Mohamed Salah, Fabinho, Thiago Alcantara, Trent Alexander-Arnold and Ibrahima Konate all moving to the bench. That quintet should return to the starting lineup against Villarreal, though it’s a difficult juggling act with Tottenham visiting Anfield on Saturday evening and the FA Cup Final against Chelsea now less than two weeks away. Mo Salah will return to Liverpool’s starting XI against Villarreal after being rested at Newcastle Klopp is not expecting any players to miss out with a stomach bug that has been in camp of late. Villarreal boss Emery made eight changes of his own against Alaves, with only Samuel Chukwueze, Dani Parejo and Pau Torres retaining their starting berths from Anfield. Former Liverpool full-back Alberto Moreno remains sidelined with a long-term knee injury, but a major boost should come with the return of key striker Gerard Moreno, who sat out the first leg with a hamstring complaint. Raul Albiol and ex-Arsenal midfielder Francis Coquelin have both shaken off knocks, though Arnaut Danjuma is now struggling with a foot problem after missing training on Monday. Predicted Villarreal XI: Rulli, Foyth, Albiol, Torres, Estupinan, Parejo, Capoue, Coquelin, Lo Celso, Chukwueze, Gerard Predicted Liverpool XI: Alisson; Alexander-Arnold, Van Dijk, Konate, Robertson; Fabinho, Henderson, Thiago; Mane, Salah, Diaz Villarreal’s gameplan totally failed at Anfield, with no shots on target, barely any possession and next to no opportunities to hit on the break. Untroubled Liverpool were entirely comfortable and should unquestionably have won by more as they serenely controlled and dominated proceedings. The wily Emery will have to make big tactical changes for the second leg as they need to put Liverpool under far more pressure from the outset. However, their chances of breaching a mean defence that have now kept four successive clean sheets across all competitions appear slim. Villarreal need to push on and take the initiative in front of their own fans, which will inevitably leave plenty of space in behind for the likes of Salah, Sadio Mane and Luis Diaz to exploit. Liverpool to win, 2-0. Villarreal’s only win over Liverpool to date came on home soil back in the first leg of the Europa League semi-finals in 2016, with an injury-time effort from Adrian Lopez. However, the Reds hit back with goals from Daniel Sturridge and Adam Lallana at Anfield, winning 3-0 to book their place in the Basel showpiece, which they lost to Emery’s Sevilla. Villarreal wins: 1 Liverpool wins: 2 Draws: 0 ",positive
7,https://www.standard.co.uk/sport/football/liverpool-fc-xi-vs-villarreal-predicted-lineup-confirmed-team-news-injury-latest-champions-league-2022-today-b997488.html,"Liverpool XI vs Villarreal: Predicted lineup, confirmed team news and injury latest for Champions League game","oberto Firmino will remain sidelined when Liverpool face Villarreal in the second leg of their Champions League semi-final tie tonight. Firmino has missed the last four games - including last week’s initial clash - with a foot strain. The Brazilian has travelled after resuming running but won’t play at the Estadio de la Ceramica, where Liverpool head holding a commanding two-goal lead courtesy of a dominant first-leg win at Anfield last week. “Bobby is now running, so it’s good,” Klopp said at his pre-match press conference on Monday. “A little strain here in the middle foot bone, so it’s very painful each step. “But he was running today again, will travel with us but will not be involved in the squad yet. But we hope sooner rather than later.” Divock Origi could return to the Liverpool squad in eastern Spain after sitting out Saturday’s 1-0 Premier League victory against Newcastle due to non-Covid illness. Jurgen Klopp made five changes to his starting lineup for a lunchtime kick-off at St James’ Park, with Mohamed Salah, Fabinho, Thiago Alcantara, Trent Alexander-Arnold and Ibrahima Konate all rested. You would expect that quintet to return to the first XI at Villarreal, with Joe Gomez, Joel Matip, James Milner, match-winner Naby Keita and Diogo Jota quickly swapping back out. However, Klopp has a difficult balancing act on his hands in Liverpool’s pursuit of an unprecedented quadruple, with quick-fire matches against Tottenham and Aston Villa to come as well as the FA Cup Final against Chelsea at Wembley on May 14, which is followed by final top-flight meetings with Southampton and Wolves. Klopp is not expecting any lingering effects from a stomach bug that has been in camp of late. He added: “We had the issues with a stomach bug – they are all back. I think that’s it. No concerns.” Liverpool predicted XI (4-3-3): Alisson; Alexander-Arnold, Van Dijk, Konate, Robertson; Fabinho, Henderson, Thiago; Mane, Salah, Diaz Tuesday 8pm BST, BT Sport Venue: Estadio de la Ceramica, Villarreal Referee: Danny Makkelie (NED) Liverpool squad from: Alisson, Alexander-Arnold, Konate, Van Dijk, Robertson, Fabinho, Thiago, Henderson, Salah, Mane, Diaz, Kelleher, Gomez, Matip, Tsimikas, Milner, Keita, Oxlade-Chamberlain, Jones, Elliott, Jota, Origi, Minamino. Injured: Firmino (foot) ",negative
8,https://www.standard.co.uk/sport/football/arsenal-vs-tottenham-top-four-battle-unity-individual-brilliance-b997665.html,Arsenal vs Tottenham: Why top-four battle will come down to unity against individual brilliance as derby looms,"op-four-chasing Arsenal and Tottenham both benefited from playing opponents with one eye on midweek European fixtures on Sunday — but neither will be so fortunate this weekend. Spurs face a daunting trip to quadruple-chasing Liverpool on Saturday evening before Arsenal host Leeds, who have been dragged into the thick of a three-way relegation fight. With a two-point lead over their bitter rivals, fourth-placed Arsenal will be the more comfortable of the two, and this weekend offers them a good chance to open up a five-point gap on Spurs and potentially a cushion going into the north London derby at Tottenham Hotspur Stadium on Thursday week. But this is merely a scrap for fourth place, quite different to the relentless nature of the title race between Liverpool and Manchester City. Neither Arsenal nor Spurs have shown enough consistency this season to suggest they are certain to win their three other fixtures, so there should be more twists to come. If Spurs have an X-factor, it is their world-class individuals. In head coach Antonio Conte, they have one of the game’s best, while Sunday’s 3-1 win over Leicester was made comfortable by the brilliance of Harry Kane, Heung-min Son and Dejan Kulusevski at one end and Cristian Romero at the other. Arsenal, by contrast, are lacking the same star quality but feel like a more rounded team under Mikel Arteta, further along in their rebuild than their neighbours. Last month, Brighton and Brentford offered a blueprint of how to nullify Conte’s Spurs — specifically, deny them space in the final third and stop Kane getting on the ball — and, in having a more clearly-defined system, Arsenal are harder to stop and better at breaking down stubborn opponents. Arteta is also getting more from his squad than Conte, and important performances from fringe players Mohamed Elneny, Eddie Nketiah and Rob Holding in the wins over Chelsea, Manchester United and West Ham point to a united group, with deceptive depth. By contrast, Lucas Moura was hopelessly rusty on his first Spurs start since mid-February on Sunday, while Harry Winks was off the pace in a late cameo, hardly surprisingly given Conte has barely changed his XI for over two months. Both clubs have been impacted by injuries in the same positions, with Spurs losing midfielder Oliver Skipp and wing-back Matt Doherty, and Arsenal without Thomas Partey and Kieran Tierney in similar positions. Mikel Arteta vs Antonio Conte - who will win the race for Champions League qualification? The absences may prove crucial in the run-in. In Nuno Tavares, who is deputising for Tierney at left wing-back, Arsenal have an agent of chaos, and while the Portuguese is in the team there is a chance they will drop points in any game. Kulusevski, who came off the bench to twice assist Son on Sunday, should have the beating of Tavares if they both start on May 12. For all their star quality up front, Spurs, though, are weak on both flanks. In the absence of Doherty and Sergio Reguilon, who is sidelined indefinitely with a groin injury, wing-backs Emerson Royal and Ryan Sessegnon failed to make an impact in the final third against Leicester. But it is long past the point where Conte is likely to change his system or experiment on the flanks. If Arsenal allow Spurs’ wing-backs to have the ball, and keep it away from their forwards, they will be in a strong position next week. Spurs finish the season against Burnley, who are likely to be fighting for survival, and already-relegated Norwich, while Arsenal face a tough trip to Newcastle and host Everton on the final day, when the Toffees may also be playing for their Premier League status. The derby will surely be crucial, but the fight for Champions League football could come down to Spurs’ individual brilliance against Arsenal’s collective cohesion and unity. Whatever happens in the next fortnight, expect the contest to go the wire. ",positive
9,https://www.standard.co.uk/sport/football/liverpool-fc-villarreal-champions-league-jurgen-klopp-b997656.html,Liverpool braced for Villarreal storm but Jurgen Klopp won’t accept slip-ups in quest for Champions League glory,"n his press conference yesterday, Liverpool boss Jurgen Klopp joked that a younger version of himself would have been furious just to be asked whether this semi-final tie is already over. He has seen too much, both he and Liverpool involved in too many comebacks - usually as perpetrator - from more perilous positions than the one Villarreal find themselves in, to entertain that kind of talk. Still, Klopp’s team selection for Saturday’s trip to Newcastle suggested that beneath the obligatory lip service, cliched chatter of it being “only half-time”, he genuinely feels the job is not done, with Mohamed Salah, Trent Alexander-Arnold, Fabinho and Thiago Alcantara all rotated for what was a must-win game. It feels like an age since the quadruple-pursuers last played a match that wasn’t one of those, and while a draw or a one-goal defeat would of course be enough to reach a third Champions League final in five seasons, there is little danger of Klopp’s side hunkering down and looking to ride out a yellow storm at El Madrigal tonight. “We have to be ready to suffer and sit back in moments, but not as a general approach,” the 54-year-old said, highlighting the aggression that has seen them win five out of five away from home in the competition this season, racking up 15 goals across trips to Benfica, Porto, Atletico Madrid and both Milan giants. Liverpool won’t rest on their laurels in tonight’s Champions League semi-final second leg against Villarreal “We didn't win the games by sitting deep and counter-attacking,” he added. ""We tried to play as ourselves and we have to do that again.” Alexander-Arnold, too, warned against the old demon that is complacency but neither Klopp nor circumstances have allowed it to fester in this group. The German’s intensity does not permit half-heartedness even if his team now play with more control than in the thunderous early years of his reign, while the Reds’ new-found depth and blessed fortune with injuries mean individual shirts are on the line every week. One early goal could, of course, swing the tie, but the trouble for Unai Emery and Villarreal is that should Liverpool score it, even without the away goals rule, it would surely signal game over. The Spaniards must be foot-perfect, riding their luck as they did at times in the second leg of their quarter-final against Bayern Munich, staying in the game and showing the ruthless streak that saw off Juventus in a late flurry in the round before that. “We will try to find some weak spots,” Emery said yesterday, before acknowledging that is “something that no one has done this season."" If there is hope for Villarreal, it may lie in the second-leg sloppiness that has left the aggregate scoreline shy of reflecting Liverpool’s dominance of each of their knockout ties to date, though in neither the 6-4 against Benfica nor 2-1 against Inter did the Reds ever look in real danger of an exit. Emery will be boosted by the return of Spain striker Gerard Moreno, but it may be a case of one-in, one-out, with concern over the fitness of top scorer Arnaut Danjuma after the former Bournemouth man missed training yesterday. Liverpool will still be without Roberto Firmino, though the Brazilian has travelled with the squad to Spain. ",positive
