,Hashtag,Username,Date,Tweet,retweet,Word_count,Key_word_count,Sentiment,RelateHashtag,Followers_count,tweet link
0,#Liverpool,MEGASport_EA,2022-05-01 23:53:37,urgent the telegraphliverpool offers to renew james milners contract at the request of jurgen kloppmohamed salahs position has not changed yet,0,61,0,neutral,"['#Liverpool', ""#Milner's"", '#Klopp', ""#Salah's""]",13,https://twitter.com/twitter/statuses/1520914367683964931
1,#Liverpool,statsfutball,2022-05-01 23:47:28,its over for manchester unitedfootball premierleague mufc cr ronaldo soccer manutd realmadrid cristianoronaldo liverpool messi championsleague ggmu juventus manchester chelsea manunited fifa barcelona pogba arsenal cristiano oldtrafford reddevils,0,82,1,neutral,"['#football', '#premierleague', '#mufc', '#cr', '#ronaldo', '#soccer', '#manutd', '#realmadrid', '#cristianoronaldo', '#liverpool', '#messi', '#championsleague', '#ggmu', '#juventus', '#manchester', '#chelsea', '#manunited', '#fifa', '#barcelona', '#pogba', '#arsenal', '#cristiano', '#oldtrafford', '#reddevils']",7,https://twitter.com/twitter/statuses/1520912822649389057
2,#Liverpool,FootballBuzzz,2022-05-01 23:37:01,thomas tuchel admits he saw chelseas defeat to everton coming fm22 uecl premierleague fut football ucl uel fifa uefa totw tots inform otw fifa22 fut22 champions nufc arsenal cfc livestream lfc mufc mcfc liverpool,0,103,1,neutral,"['#FM', '#UECL', '#PremierLeague', '#FUT', '#Football', '#UCL', '#UEL', '#Fifa', '#UEFA', '#TOTW', '#TOTS', '#Inform', '#OTW', '#FIFA', '#FUT', '#Champions', '#NUFC', '#Arsenal', '#CFC', '#Livestream', '#LFC', '#MUFC', '#MCFC', '#Liverpool']",7470,https://twitter.com/twitter/statuses/1520910190136147969
3,#Liverpool,cryptomillionup,2022-05-01 23:30:02,protect your home and your familygood deal on alarms lt click here for moreunited kingdom belfast birmingham blackpool bournemouth brighton bristol cardiff coventry derby edinburgh glasgow hull leeds leicester liverpool london,1,91,1,positive,"['#United', '#Belfast', '#Birmingham', '#Blackpool', '#Bournemouth', '#Brighton', '#Bristol', '#Cardiff', '#Coventry', '#Derby', '#Edinburgh', '#Glasgow', '#Hull', '#Leeds', '#Leicester', '#Liverpool', '#London']",52,https://twitter.com/twitter/statuses/1520908435595964424
4,#Liverpool,FootballBuzzz,2022-05-01 23:29:01,everything is open arteta and arsenal targeting chelsea in third place fm22 uecl premierleague fut football ucl uel fifa uefa totw tots inform otw fifa22 fut22 champions nufc arsenal cfc livestream lfc mufc mcfc liverpool,1,106,1,neutral,"['#FM', '#UECL', '#PremierLeague', '#FUT', '#Football', '#UCL', '#UEL', '#Fifa', '#UEFA', '#TOTW', '#TOTS', '#Inform', '#OTW', '#FIFA', '#FUT', '#Champions', '#NUFC', '#Arsenal', '#CFC', '#Livestream', '#LFC', '#MUFC', '#MCFC', '#Liverpool']",7470,https://twitter.com/twitter/statuses/1520908176861892608
5,#Liverpool,7oanna30red,2022-05-01 23:18:08,miss you dad even if you were bloody useless in most situationsnot all but somebut i couldnt of asked for a better taxidriver grief reflection liverpool scousedadsx,0,79,1,negative,"['#dad', '#taxidriver', '#Grief', '#reflection', '#Liverpool', '#scousedads']",178,https://twitter.com/twitter/statuses/1520905439881347072
6,#Liverpool,HousePartyRadio,2022-05-01 23:01:35,onair fire it up with webmobilealexa trance and house hard dance progressive wigan ukbigtunes anthems share like liverpool housemusic housepartyradio live,0,61,1,negative,"['#OnAir', '#trance', '#and', '#house', '#hard', '#dance', '#progressive', '#wigan', '#uk', '#bigtunes', '#anthems', '#share', '#like', '#liverpool', '#housemusic', '#housepartyradio', '#live']",144,https://twitter.com/twitter/statuses/1520901276564873216
7,#Liverpool,MyWeather_LVC,2022-05-01 23:00:17,liverpool overcast for the hour 10c with cloudy mostly cloudy throughout the day with highs of 11c myweather,0,54,1,positive,"['#Liverpool', '#MyWeather']",177,https://twitter.com/twitter/statuses/1520900948217970688
8,#Liverpool,Amy4168,2022-05-01 22:56:05,bloody tremendous come back soon liverpool,2,16,1,neutral,['#Liverpool'],674,https://twitter.com/twitter/statuses/1520899891320528897
9,#Liverpool,markRei03932199,2022-05-01 22:51:42,can do one under starmer shame liverpool are not holding local elections as we could of sent him a message that we stand jeremycorbyn starmerlies starmerout,0,76,1,positive,"['#Liverpool', '#JeremyCorbyn', '#StarmerLies', '#starmerout']",9,https://twitter.com/twitter/statuses/1520898786658332680
