,URL,Content_title,Contents,sentiment,datetime,word_search,word_count,link_count,link_same_Domain,link_diff_Domain
0,https://www.bbc.com/sport/football/60925012,Egypt claim players were subjected to racism before World Cup play-off against Senegal,"Last updated on 7 hours ago7 hours ago.From the section FootballEgypt have lodged an official complaint against Senegal in which they claim their team was subjected to racism and ""terrorised"" by home fans in Dakar.Sadio Mane's winning shootout penalty sealed Senegal's World Cup place with his Liverpool team-mate Mohamed Salah among those to miss for Egypt.Egypt captain Salah was one of several visiting players targeted by green laser pointers during the shootout.It is also claimed the Egypt team bus was attacked, causing injuries.In a statement, the Egyptian Football Association [EFA] said it had lodged a formal complaint against its Senegalese counterpart before the match, filing this with Fifa, the Confederation of African Football [CAF], the match observer and the security official.""The Egyptian team was subjected to racism after the appearance of offensive banners in the stands aimed at the players, specifically Mohamed Salah,"" the statement added.""Moreover the Senegalese fans terrorised the Egyptian players by throwing bottles and stones at them during the warm-up, as well as attacking the Egyptian team bus, which caused glass shattering and some injuries, which was documented with pictures and videos attached to the complaint.""The EFA shared images of the damage to the team bus on Instagram, along with images of the offensive banner directed at Salah.Dakar's new 50,000-seater Stade Me Abdoulaye Wade was filled to capacity as Senegal beat Egypt 1-0 to make the score 1-1 on aggregate after extra-time in the World Cup play-off match.The Africa Cup of Nations champions once again got the better of Egypt in a shootout, six weeks on from their triumph in the Afcon final, winning 3-1 on penalties to secure a place at the Qatar tournament in November.As Liverpool forward Salah stepped up to take his penalty, green lasers could be seen shining on his face before he fired his effort over the crossbar.At full-time, the 29-year-old had to be escorted down the tunnel by security personnel as supporters threw objects from above.Fifa's disciplinary body is analysing reports from the game before deciding on any next steps to be taken.President of the Senegalese Federation, Augustin Senghor - who is also the vice-president of CAF - said he would await official reports on the incidents.""From the stands, I didn't pay attention to the projectiles thrown,"" Senghor said. ""About the lasers, if it happened this is a first in Senegal. But we know that in Cairo there were a lot of these and [they are used] often in specific countries. Senegal isn't used to that.""He added: ""In my opinion, I didn't see during this game something that could be considered as chauvinism because the Senegalese are known to be very welcoming.""To understand what Putin might do in the future, we need to understand his past...Police investigate an extremely violent gang in Devon's drug economyPeter Bleksley sets out to find Kevin Parle, a man connected to murders in LiverpoolEverything you need to know to make sure you never miss a moment.The latest rumours and stories from around the world of football.Analysis and opinion from our chief football writer.How to get into football - the most popular sport in the world, with clubs and facilities throughout the UK.",positive,7 hours ago,liverpool,3,141,81,60
1,https://www.bbc.co.uk/news,BBC News Home,"Close to a quarter of Ukraine's population have left their homes, including the internally displaced.Comments come as satellite images show the devastation unleashed by Russia's bombardment.The Die Hard actor has aphasia, a brain condition ""impacting his cognitive abilities"", says his family.The Chernihiv governor says Russia bombarded the city overnight, despite pledge to reduce attacks.The dog named Bavaria was found as soldiers inspected abandoned flats on the frontline near Kyiv.Residents are scrambling for essentials and quarantining in offices in China's financial capital.Catch up on coverage of the state memorial for Shane Warne at the Melbourne Cricket Ground.There are no official records of who President Trump was talking to during the 6 January riot.The British boy band star told fans in 2020 he had been diagnosed with terminal brain cancer.Germany and Austria have both issued gas supply warnings as a payments row with Russia escalates.The judges say China's new national security law has made their role on highest court untenable.The decision is in response to Western sanctions and surging inflation since the war in Ukraine.The judges say China's new national security law has made their role on highest court untenable.The decision is in response to Western sanctions and surging inflation since the war in Ukraine.Three Israelis and two Ukrainians are shot by a Palestinian, in the third such attack in a week.Sir Elton John, Ed Sheeran and a host of former cricketers lead tributes to Australia legend Shane Warne at a state memorial service.El Shafee Elsheikh is one of a group of IS militants with UK links accused of beheading hostages in Syria.The latest global news, sport, weather and documentariesStories from around the worldEmail us at haveyoursay@bbc.co.ukSend an SMS or MMS to +44 7624 800100Follow Have Your Say on TwitterWhy you can trust BBC News",positive,6 hours ago,liverpool,0,278,233,45
2,https://www.bbc.co.uk/weather,BBC Weather,"10 minutes agoLast updated 10 minutes agoAfter a spell of spring warmth, it's turning much colder with a return to something more wintry.Just a small change in temperature can mean the difference between rain, sleet and snow on a cold day.Parts of eastern Australia have seen their wettest March on record with torrential rain bringing extreme flooding.Wind turbines and solar panels produced 10% of global electricity in 2021 but coal also had a resurgence.As the world's temperature warms, severe rainfall events are becoming more likely - and weather patterns like La Niña could be disrupted.BBC Weather in association with MeteoGroupAll times are BST (Europe/London, GMT +0100) unless otherwise stated.",positive,Last updated 10 minutes ago,liverpool,0,82,54,28
3,https://www.bbc.com/sport/all-sports,A-Z Sport,"From the section Sport* A Winter Olympics index can be found here, while a full list of indexes for Winter Olympic sports, can be found on this page.",positive,about 1 hour ago,liverpool,0,168,71,97
4,https://www.bbc.com/sport/cricket,Cricket,"Sir Elton John, Ed Sheeran and a host of former cricketers lead tributes to Australia legend Shane Warne at a state memorial service.Fixtures, results and scorecards from the 12th edition of the Women's World Cup, hosted by New Zealand - originally scheduled for 2021, but now taking place in March and April 2022.West Indies batter Nkrumah Bonner tells BBC Sport about his fine return to international cricket after a 10-year absence in which he nearly quit the sport forever.Find the latest episode of your favourite podcast or discover something a little more different by visiting BBC Sounds' sport podcast listings page.Find the latest episode of your favourite podcast or discover something a little more different by visiting BBC Sounds' sport podcast listings page.Find out more about our BBC Sport AppHelp & FAQs",positive,about 6 hours ago,liverpool,0,174,111,63
5,https://www.bbc.com/sport/formula1,Formula 1,"The former F1 boss killed himself at home after exhausting treatment options, a coroner concludes.If the battle between Charles Leclerc and Max Verstappen is any measure of the season to come in Formula 1, it is going to be quite a year.Max Verstappen was born to be an F1 driver - both his parents were racers. But his father effectively programmed him as one, too.2021 Formula 1 world champion Max Verstappen talks to BBC Sport before the 2022 season, which starts with the Bahrain Grand Prix this weekend.2021 Formula 1 world champion Max Verstappen talks to BBC Sport before the 2022 season, which starts with the Bahrain Grand Prix this weekend.Find out more about our BBC Sport AppHelp & FAQs",positive,about 18 hours ago,liverpool,0,166,113,53
6,https://www.bbc.com/sport/rugby-union,Rugby Union,"Listen to BBC Radio commentary as Bristol host Gloucester, Bath face Worcester and Northampton play Newcastle in Premiership Rugby Cup action.The Scotland v England scoreline may not be of the greatest interest, but there will be no shortage of talking points in the Women's Six Nations.Tom English, BBC Scotland's chief sportswriter, picks over a sobering end to Scotland's Six Nations campaign.The 1972 Five Nations was abandoned after Scotland & Wales decided not to play in Ireland. It meant England's 1973 match in Dublin was emotionally charged.Find out more about our BBC Sport AppHelp & FAQs",positive,about 6 hours ago,liverpool,0,178,131,47
7,https://www.bbc.com/sport/tennis,Tennis,"Former world number one Naomi Osaka reaches the Miami Open semi-finals with a straight-set win over American Danielle Collins.Not only was Rafael Nadal playing for the Australian Open title on Sunday, he was jostling for position to be crowned the Greatest of All Time.Find out more about our BBC Sport AppHelp & FAQs",positive,about 3 hours ago,liverpool,0,146,98,48
8,https://www.bbc.com/sport/golf,Golf,"Rory McIlroy hopes playing in the Texas Open will be the ideal preparation for his eighth attempt at achieving the career grand slam next week.In these times of hyper prize money inflation, Georgia Hall's Saudi Ladies International win highlights a continuing gender discrepancy that blights professional golf, writes Iain Carter.Find out more about our BBC Sport AppHelp & FAQs",positive,Coverage starts in 27 minutes,liverpool,0,139,89,50
9,https://www.bbc.com/sport/athletics,Athletics,"Ukraine's Yaroslava Mahuchikh says winning gold in the high jump at the World Indoor Championships shows the strength of her country as it continues to fight a war against Russia.Facing up to an unimaginable tragedy has proved the making of rising British high jump star Emily Borthwick, who has won three events in 2022.Find out more about our BBC Sport AppHelp & FAQs",positive,2 days ago,liverpool,0,137,90,47
